,AdjDE_x,AdjDE_y,AdjOE_x,AdjOE_y,AdjTempo_x,AdjTempo_y,DE_x,DE_y,OE_x,OE_y,Pythag_x,Pythag_y,RankAdjDE_x,RankAdjDE_y,RankAdjOE_x,RankAdjOE_y,RankAdjTempo_x,RankAdjTempo_y,RankDE_x,RankDE_y,RankOE_x,RankOE_y,RankPythag_x,RankPythag_y,RankTempo_x,RankTempo_y,Result,Tempo_x,Tempo_y,game_id,season,t1TeamName,t1_id,t1_score,t1_teamname,t2TeamName,t2_id,t2_score,t2_teamname,team1_fg2pct,team1_fg3pct,team1_ftpct,team2_fg2pct,team2_fg3pct,team2_ftpct,x_pt_team_season_losses,x_pt_team_season_wins,x_rpi_rating,x_seed,y_pt_team_season_losses,y_pt_team_season_wins,y_rpi_rating,y_seed
773,113.1293,92.2341,110.3269,120.8284,64.9604,64.475,111.764,92.9741,113.6553,116.6189,0.42838,0.957118,337.0,13.0,40.0,4.0,158.0,181.0,336.0,18.0,15.0,6.0,195.0,5.0,184.0,158.0,0,64.6123,65.0568,2015-1437-1248,2015.0,Lafayette,1248.0,52.0,Lafayette,Villanova,1437.0,93.0,Villanova,53.0499,41.4141,76.4933,53.11,38.8818,72.7156,12.0,20.0,0.53,16.0,2.0,32.0,0.56,1.0
302,91.5064,90.4833,108.8565,118.0858,62.1139,72.9832,93.2542,91.9683,106.9186,116.3077,0.880446,0.955291,12.0,8.0,68.0,4.0,310.0,9.0,16.0,10.0,83.0,2.0,19.0,1.0,321.0,10.0,0,60.9428,73.9268,2007-1314-1277,2007.0,Michigan St.,1277.0,67.0,Michigan St.,North Carolina,1314.0,81.0,North Carolina,50.6494,37.6033,71.8331,54.6067,35.7737,71.1702,11.0,22.0,0.535,9.0,6.0,28.0,0.584,1.0
184,103.8184,88.4703,100.8907,120.2137,69.6665,66.158,100.3342,92.2107,105.2655,118.4394,0.418492,0.971417,214.0,3.0,175.0,2.0,74.0,212.0,138.0,15.0,82.0,1.0,191.0,1.0,76.0,243.0,0,69.9474,65.3035,2005-1228-1192,2005.0,Fairleigh Dickinson,1192.0,55.0,Fairleigh Dickinson,Illinois,1228.0,67.0,Illinois,49.6947,34.876,66.6137,54.1636,39.2246,72.8111,12.0,20.0,0.539,16.0,1.0,32.0,0.626,1.0
453,89.9489,95.7703,104.7221,112.1296,66.9837,59.9154,94.9174,99.5067,100.4488,108.5965,0.851799,0.859794,6.0,56.0,110.0,29.0,144.0,334.0,41.0,121.0,187.0,51.0,30.0,26.0,104.0,341.0,0,68.258,58.7259,2009-1458-1199,2009.0,Florida St.,1199.0,59.0,Florida St.,Wisconsin,1458.0,61.0,Wisconsin,48.1275,34.2314,72.5304,47.7148,35.9797,72.5557,9.0,25.0,0.579,5.0,12.0,19.0,0.581,12.0
406,93.5709,94.3368,109.2162,117.2739,66.1411,67.493,96.3834,94.6374,106.6659,112.0145,0.855452,0.924343,31.0,38.0,51.0,4.0,174.0,121.0,65.0,34.0,79.0,15.0,28.0,8.0,131.0,72.0,0,67.5391,69.3505,2009-1181-1400,2009.0,Texas,1400.0,69.0,Texas,Duke,1181.0,74.0,Duke,48.2338,32.8063,66.7503,49.5077,34.8564,72.7876,11.0,22.0,0.526,7.0,6.0,28.0,0.556,2.0
761,92.2341,98.2047,120.8284,111.4724,64.475,64.4348,92.9741,101.0564,116.6189,108.1518,0.957118,0.811122,13.0,89.0,4.0,30.0,181.0,189.0,18.0,148.0,6.0,54.0,5.0,38.0,158.0,193.0,0,65.0568,64.4741,2015-1301-1437,2015.0,Villanova,1437.0,68.0,Villanova,North Carolina St.,1301.0,71.0,North Carolina St.,53.11,38.8818,72.7156,47.3975,36.0791,68.3358,2.0,32.0,0.542,1.0,13.0,20.0,0.555,8.0
576,86.5164,89.2855,102.4523,118.6576,67.6443,65.6735,89.0266,89.6755,99.9408,116.4605,0.874816,0.963407,1.0,5.0,139.0,2.0,97.0,191.0,4.0,7.0,188.0,4.0,20.0,1.0,91.0,177.0,0,67.8366,66.1184,2012-1246-1257,2012.0,Louisville,1257.0,61.0,Louisville,Kentucky,1246.0,69.0,Kentucky,47.1576,31.7872,68.7651,52.6921,37.8151,72.2814,9.0,26.0,0.567,4.0,2.0,32.0,0.58,1.0
4,100.1904,87.2954,95.1314,117.7387,67.1911,75.3001,95.6731,89.6799,98.6665,115.7428,0.355293,0.968945,140.0,1.0,261.0,1.0,247.0,13.0,52.0,2.0,203.0,2.0,214.0,1.0,224.0,9.0,0,68.1951,76.8235,2002-1181-1457,2002.0,Winthrop,1457.0,37.0,Winthrop,Duke,1181.0,84.0,Duke,47.642,30.5603,65.5914,57.4329,36.2651,68.9845,11.0,19.0,0.47,16.0,3.0,29.0,0.656,1.0
631,90.2573,83.7994,102.9085,112.1925,68.8999,67.2329,90.3297,85.2644,102.319,108.6223,0.818842,0.966287,15.0,1.0,132.0,18.0,46.0,112.0,13.0,2.0,139.0,31.0,44.0,1.0,58.0,138.0,0,68.8589,66.668,2013-1257-1332,2013.0,Oregon,1332.0,69.0,Oregon,Louisville,1257.0,77.0,Louisville,49.0541,33.2756,70.4574,50.8075,33.2851,70.8696,8.0,26.0,0.414,12.0,5.0,29.0,0.574,1.0
459,93.9013,89.6286,107.2862,108.1695,67.2484,65.1617,90.0404,92.5372,111.9651,108.4929,0.822363,0.896812,42.0,8.0,69.0,55.0,175.0,269.0,6.0,24.0,15.0,47.0,49.0,16.0,139.0,287.0,0,67.9395,64.5273,2010-1139-1293,2010.0,Murray St.,1293.0,52.0,Murray St.,Butler,1139.0,54.0,Butler,54.2063,38.0702,69.4408,50.8696,34.1656,73.7723,4.0,30.0,0.572,13.0,4.0,28.0,0.576,5.0
125,97.7407,93.6789,110.4645,106.2703,72.466,62.9445,98.5472,96.1821,108.9914,106.8775,0.803345,0.810044,88.0,23.0,25.0,77.0,34.0,312.0,107.0,51.0,33.0,55.0,44.0,39.0,10.0,313.0,0,75.108,61.7306,2003-1428-1332,2003.0,Oregon,1332.0,58.0,Oregon,Utah,1428.0,60.0,Utah,50.0,38.6454,77.3723,48.8846,38.0,70.903,9.0,23.0,0.489,8.0,7.0,24.0,0.604,9.0
468,102.0349,89.6768,114.0527,111.7599,65.7817,69.4026,97.4265,92.0294,113.4091,111.7162,0.782531,0.926329,178.0,9.0,16.0,26.0,240.0,71.0,91.0,21.0,11.0,19.0,60.0,6.0,254.0,57.0,0,65.5326,70.2518,2010-1246-1165,2010.0,Cornell,1165.0,45.0,Cornell,Kentucky,1246.0,62.0,Kentucky,51.0758,43.2815,73.3591,54.5752,33.142,66.9072,4.0,27.0,0.565,12.0,2.0,32.0,0.581,1.0
697,101.3973,89.9943,113.3938,115.753,65.2367,63.1796,101.9537,91.5258,110.7795,111.6412,0.783458,0.947584,101.0,5.0,30.0,17.0,236.0,316.0,105.0,10.0,51.0,46.0,53.0,3.0,217.0,325.0,0,65.7254,63.0694,2014-1196-1173,2014.0,Dayton,1173.0,52.0,Dayton,Florida,1196.0,62.0,Florida,50.3639,37.7329,68.1319,51.3011,35.865,66.8966,10.0,23.0,0.547,11.0,2.0,32.0,0.573,1.0
291,94.7235,97.2398,107.34,115.3393,67.3194,59.3015,94.814,94.9123,107.2243,115.084,0.808136,0.87686,36.0,60.0,85.0,11.0,137.0,329.0,28.0,30.0,79.0,7.0,48.0,22.0,227.0,332.0,0,65.1928,58.5827,2007-1139-1330,2007.0,Old Dominion,1330.0,46.0,Old Dominion,Butler,1139.0,57.0,Butler,48.1707,34.5588,72.466,49.5402,37.0773,75.5556,8.0,24.0,0.48,12.0,6.0,27.0,0.581,5.0
328,100.9284,90.2784,116.189,112.6549,67.1924,69.4387,99.0928,88.0453,114.471,112.5087,0.834695,0.927335,135.0,6.0,8.0,28.0,144.0,69.0,94.0,2.0,10.0,18.0,40.0,8.0,138.0,49.0,0,67.4293,70.7827,2007-1272-1305,2007.0,Nevada,1305.0,62.0,Nevada,Memphis,1272.0,78.0,Memphis,51.929,40.5316,75.89,51.2011,35.101,62.1196,4.0,28.0,0.583,7.0,3.0,30.0,0.597,2.0
19,99.8457,91.9826,113.749,110.452,70.7668,69.384,97.9973,96.0554,112.4806,105.821,0.817461,0.891319,134.0,17.0,12.0,32.0,116.0,174.0,85.0,58.0,7.0,70.0,39.0,12.0,117.0,138.0,0,70.9358,70.4212,2002-1246-1409,2002.0,Tulsa,1409.0,82.0,Tulsa,Kentucky,1246.0,87.0,Kentucky,51.0526,40.2262,75.389,50.9105,31.5089,67.6948,6.0,26.0,0.637,12.0,9.0,20.0,0.613,4.0
439,102.078,96.5418,114.9799,116.1857,61.2388,68.7811,100.5955,98.9559,117.6271,113.1115,0.797175,0.893781,175.0,63.0,13.0,9.0,324.0,75.0,152.0,113.0,1.0,11.0,52.0,20.0,322.0,67.0,0,61.5185,69.5156,2009-1266-1429,2009.0,Utah St.,1429.0,57.0,Utah St.,Marquette,1266.0,58.0,Marquette,54.0496,39.4973,74.5482,50.7181,34.7143,72.7669,4.0,30.0,0.571,11.0,9.0,24.0,0.574,6.0
513,95.425,90.6585,107.0116,106.7393,62.9372,65.0122,96.0616,92.3219,106.8412,103.777,0.788826,0.867362,47.0,9.0,76.0,80.0,318.0,252.0,49.0,12.0,63.0,119.0,54.0,23.0,312.0,243.0,0,63.0989,65.4015,2011-1155-1412,2011.0,UAB,1412.0,52.0,UAB,Clemson,1155.0,70.0,Clemson,50.3408,34.2407,71.7349,49.5405,34.4444,70.128,8.0,22.0,0.593,12.0,11.0,22.0,0.588,12.0
58,97.6522,97.8625,106.287,113.3802,70.4157,69.7514,99.5777,102.3083,103.2561,109.5515,0.725997,0.844568,81.0,84.0,75.0,15.0,132.0,164.0,131.0,195.0,117.0,26.0,70.0,29.0,134.0,141.0,0,70.4841,70.3386,2002-1400-1130,2002.0,Boston College,1130.0,57.0,Boston College,Texas,1400.0,70.0,Texas,45.8723,33.7043,69.5876,48.2603,36.7647,68.6732,11.0,20.0,0.612,11.0,11.0,20.0,0.596,6.0
518,97.0937,90.9198,111.5584,108.1173,72.1446,64.1785,98.1257,92.5232,109.8463,107.0048,0.831603,0.879981,67.0,10.0,30.0,64.0,13.0,286.0,86.0,14.0,35.0,62.0,36.0,18.0,12.0,291.0,0,72.6058,63.942,2011-1153-1281,2011.0,Missouri,1281.0,63.0,Missouri,Cincinnati,1153.0,78.0,Cincinnati,50.1754,36.2364,73.4838,48.7578,33.7942,66.8464,10.0,23.0,0.464,11.0,8.0,25.0,0.55,6.0
91,99.9469,89.4483,113.1309,110.159,59.9481,64.2353,100.0723,92.3056,113.6498,108.6353,0.806109,0.916448,135.0,7.0,13.0,31.0,325.0,299.0,147.0,12.0,3.0,35.0,42.0,7.0,325.0,298.0,0,59.6288,64.4719,2003-1328-1139,2003.0,Butler,1139.0,54.0,Butler,Oklahoma,1328.0,65.0,Oklahoma,53.4128,39.0988,71.7557,47.3312,39.185,69.2063,5.0,25.0,0.574,12.0,6.0,24.0,0.629,1.0
250,94.5934,97.4048,102.0475,115.4075,66.2574,73.0346,91.7356,100.884,108.7847,111.4581,0.705221,0.875483,43.0,85.0,160.0,8.0,201.0,12.0,15.0,145.0,43.0,17.0,87.0,16.0,212.0,15.0,0,65.9529,73.1446,2006-1397-1457,2006.0,Winthrop,1457.0,61.0,Winthrop,Tennessee,1397.0,63.0,Tennessee,49.3927,36.4501,69.5793,50.9516,38.7931,70.0813,7.0,23.0,0.553,15.0,7.0,21.0,0.556,2.0
260,94.998,94.305,108.9184,107.7834,66.7214,69.6354,96.905,96.4165,106.1595,103.136,0.828148,0.822922,45.0,39.0,52.0,66.0,174.0,70.0,66.0,60.0,85.0,146.0,34.0,39.0,204.0,85.0,0,66.1727,69.2926,2006-1112-1458,2006.0,Wisconsin,1458.0,75.0,Wisconsin,Arizona,1112.0,94.0,Arizona,47.1791,34.669,66.3743,48.1784,31.9101,70.9145,11.0,19.0,0.594,9.0,12.0,19.0,0.586,8.0
410,95.3801,81.1277,99.729,108.4135,72.9088,66.4563,97.2289,83.446,102.0672,108.9131,0.625449,0.965583,50.0,1.0,206.0,62.0,12.0,163.0,83.0,1.0,162.0,47.0,109.0,1.0,26.0,118.0,0,71.6025,67.7774,2009-1272-1169,2009.0,Cal St. Northridge,1169.0,70.0,Cal St. Northridge,Memphis,1272.0,81.0,Memphis,50.3466,36.0684,69.2308,50.6355,32.5991,69.0092,13.0,17.0,0.481,15.0,3.0,31.0,0.575,2.0
539,94.0441,93.7787,106.4587,105.187,65.8334,66.2188,100.0946,96.8615,102.3626,103.5282,0.806266,0.78922,32.0,29.0,84.0,97.0,221.0,196.0,131.0,64.0,154.0,124.0,46.0,53.0,226.0,155.0,0,65.7048,67.2393,2011-1417-1277,2011.0,Michigan St.,1277.0,76.0,Michigan St.,UCLA,1417.0,78.0,UCLA,46.748,34.9835,69.9405,50.8121,32.6415,67.9455,14.0,19.0,0.575,10.0,10.0,22.0,0.555,7.0
568,95.3965,94.6378,105.8775,114.8636,67.5753,66.4663,98.5168,96.7999,103.3508,110.1153,0.768307,0.902685,59.0,47.0,81.0,11.0,101.0,145.0,113.0,75.0,122.0,27.0,55.0,11.0,98.0,121.0,0,67.6984,67.1364,2012-1124-1462,2012.0,Xavier,1462.0,70.0,Xavier,Baylor,1124.0,75.0,Baylor,48.7197,35.1297,69.475,50.1752,37.9939,75.4362,12.0,21.0,0.526,10.0,7.0,27.0,0.576,3.0
293,99.8276,92.4556,104.4161,118.5962,67.3788,60.2223,94.8267,95.3494,107.3602,115.3203,0.626398,0.94601,110.0,14.0,134.0,2.0,132.0,327.0,29.0,37.0,76.0,6.0,111.0,4.0,152.0,328.0,0,67.2059,59.7152,2007-1207-1125,2007.0,Belmont,1125.0,55.0,Belmont,Georgetown,1207.0,80.0,Georgetown,54.5639,36.2113,68.6726,57.7666,37.0079,70.9581,9.0,23.0,0.567,15.0,6.0,26.0,0.584,2.0
494,95.6735,91.952,116.2984,109.2147,70.1729,67.1159,95.8087,95.4326,111.324,108.3923,0.904218,0.878527,61.0,23.0,7.0,47.0,51.0,182.0,53.0,45.0,23.0,49.0,13.0,22.0,53.0,209.0,0,70.3271,66.673,2010-1277-1268,2010.0,Maryland,1268.0,83.0,Maryland,Michigan St.,1277.0,85.0,Michigan St.,49.8663,38.5714,72.9569,51.6404,34.375,68.4555,8.0,23.0,0.587,4.0,8.0,24.0,0.562,5.0
36,93.6862,92.6916,110.9155,110.234,68.817,69.6261,97.0659,95.0957,108.4327,106.9812,0.874506,0.880088,28.0,22.0,26.0,36.0,201.0,167.0,71.0,44.0,39.0,58.0,17.0,16.0,175.0,100.0,0,69.65,71.4302,2002-1163-1301,2002.0,North Carolina St.,1301.0,74.0,North Carolina St.,Connecticut,1163.0,77.0,Connecticut,51.4512,35.9638,75.5047,50.4627,39.3862,69.6315,10.0,22.0,0.595,7.0,6.0,24.0,0.627,2.0
633,92.8915,83.7994,107.2784,112.1925,64.559,67.2329,93.6903,85.2644,107.1393,108.6223,0.839694,0.966287,34.0,1.0,59.0,18.0,233.0,112.0,39.0,2.0,53.0,31.0,35.0,1.0,226.0,138.0,0,64.7695,66.668,2013-1257-1455,2013.0,Wichita St.,1455.0,68.0,Wichita St.,Louisville,1257.0,72.0,Louisville,49.6074,33.8562,69.9115,50.8075,33.2851,70.8696,8.0,26.0,0.546,9.0,5.0,29.0,0.564,1.0
645,90.3122,90.2573,107.6637,102.9085,67.6554,68.8999,91.5887,90.3297,105.7822,102.319,0.882986,0.818842,16.0,15.0,55.0,132.0,94.0,46.0,22.0,13.0,77.0,139.0,18.0,44.0,111.0,58.0,0,67.3014,68.8589,2013-1332-1329,2013.0,Oklahoma St.,1329.0,55.0,Oklahoma St.,Oregon,1332.0,68.0,Oregon,49.529,31.5517,74.5672,49.0541,33.2756,70.4574,8.0,24.0,0.444,5.0,8.0,26.0,0.573,12.0
99,93.8296,99.9469,114.0237,113.1309,73.8813,59.9481,93.5479,100.0723,112.1353,113.6498,0.903927,0.806109,27.0,135.0,12.0,13.0,14.0,325.0,25.0,147.0,8.0,3.0,12.0,42.0,38.0,325.0,0,72.5019,59.6288,2003-1139-1257,2003.0,Louisville,1257.0,71.0,Louisville,Butler,1139.0,79.0,Butler,52.5876,36.1702,69.6104,53.4128,39.0988,71.7557,6.0,24.0,0.624,4.0,5.0,25.0,0.593,12.0
739,96.0053,97.5046,105.2906,116.7863,68.4678,70.0548,96.9019,99.9588,105.6648,115.4258,0.743014,0.888462,28.0,49.0,162.0,14.0,73.0,32.0,29.0,74.0,156.0,11.0,68.0,16.0,72.0,34.0,0,68.7516,70.4051,2014-1417-1409,2014.0,Tulsa,1409.0,59.0,Tulsa,UCLA,1417.0,76.0,UCLA,49.2284,32.67,67.5615,52.9818,37.9768,74.851,12.0,21.0,0.54,13.0,8.0,26.0,0.518,4.0
447,100.2412,93.0532,105.0436,119.8512,70.9905,66.4196,96.7363,96.3289,107.67,116.7828,0.631382,0.948359,142.0,24.0,101.0,2.0,24.0,165.0,71.0,61.0,67.0,3.0,106.0,2.0,17.0,146.0,0,72.0943,66.8839,2009-1338-1190,2009.0,East Tennessee St.,1190.0,62.0,East Tennessee St.,Pittsburgh,1338.0,72.0,Pittsburgh,50.7835,33.564,70.6258,52.8543,35.4369,67.5287,10.0,23.0,0.496,16.0,4.0,28.0,0.592,1.0
405,101.0018,94.3368,101.1359,117.2739,68.4127,67.493,98.5194,94.6374,103.2525,112.0145,0.503817,0.924343,158.0,38.0,173.0,4.0,89.0,121.0,102.0,34.0,138.0,15.0,161.0,8.0,142.0,72.0,0,66.9926,69.3505,2009-1181-1127,2009.0,Binghamton,1127.0,62.0,Binghamton,Duke,1181.0,86.0,Duke,48.951,33.452,68.2471,49.5077,34.8564,72.7876,8.0,23.0,0.599,15.0,6.0,28.0,0.591,2.0
608,93.8821,98.0196,105.3074,109.6757,66.7058,68.1078,94.8896,99.6281,103.8913,107.7067,0.789299,0.78451,34.0,106.0,92.0,31.0,137.0,80.0,49.0,144.0,115.0,49.0,46.0,49.0,145.0,81.0,0,66.7547,67.9994,2012-1301-1361,2012.0,San Diego St.,1361.0,65.0,San Diego St.,North Carolina St.,1301.0,79.0,North Carolina St.,49.84,33.7687,70.4225,49.3976,35.5476,70.4134,7.0,26.0,0.529,6.0,12.0,22.0,0.58,11.0
430,93.221,101.3051,103.9043,116.2626,64.5792,65.5375,92.8605,105.8351,101.0395,111.4305,0.776906,0.82973,26.0,165.0,129.0,7.0,251.0,208.0,14.0,267.0,174.0,21.0,61.0,38.0,265.0,262.0,0,64.3164,64.4036,2009-1112-1156,2009.0,Cleveland St.,1156.0,57.0,Cleveland St.,Arizona,1112.0,71.0,Arizona,47.4359,30.4348,70.3377,50.8576,38.9091,73.7659,10.0,25.0,0.547,13.0,13.0,19.0,0.599,12.0
486,88.7593,89.2061,107.2779,116.9563,67.1506,66.6843,91.454,91.28,106.5055,114.7741,0.898364,0.957498,4.0,6.0,71.0,6.0,180.0,198.0,11.0,10.0,80.0,6.0,15.0,2.0,203.0,158.0,0,66.7383,67.6228,2010-1181-1345,2010.0,Purdue,1345.0,57.0,Purdue,Duke,1181.0,70.0,Duke,49.6713,31.8569,72.3179,46.9811,38.491,75.8621,5.0,27.0,0.595,4.0,5.0,29.0,0.599,1.0
677,94.4586,89.2588,111.8518,111.7563,66.9529,64.306,94.7472,91.1903,108.9482,108.6218,0.874752,0.929889,49.0,10.0,19.0,21.0,123.0,248.0,53.0,16.0,28.0,32.0,22.0,5.0,123.0,275.0,0,67.0357,63.5588,2013-1326-1112,2013.0,Arizona,1112.0,70.0,Arizona,Ohio St.,1326.0,73.0,Ohio St.,50.5795,37.1034,74.9307,49.401,35.5799,70.7819,7.0,25.0,0.565,6.0,7.0,26.0,0.548,2.0
702,96.3269,101.6228,109.4989,122.2637,68.1663,62.8211,100.5983,103.0238,106.3702,117.1425,0.813654,0.893452,36.0,104.0,78.0,3.0,83.0,327.0,85.0,121.0,134.0,5.0,39.0,14.0,52.0,326.0,0,69.4218,63.0594,2014-1276-1400,2014.0,Texas,1400.0,65.0,Texas,Michigan,1276.0,79.0,Michigan,46.873,32.6606,67.1067,52.6936,40.1763,76.2663,10.0,23.0,0.524,7.0,8.0,25.0,0.576,2.0
533,89.1555,97.6018,109.2708,104.3969,67.706,64.7805,92.9513,96.1972,107.791,106.2067,0.912108,0.684385,3.0,79.0,49.0,109.0,112.0,258.0,16.0,52.0,53.0,77.0,11.0,83.0,94.0,287.0,0,68.3036,64.0497,2011-1287-1257,2011.0,Louisville,1257.0,61.0,Louisville,Morehead St.,1287.0,62.0,Morehead St.,51.5713,36.1827,66.3477,49.9577,34.2105,67.5141,9.0,25.0,0.53,4.0,9.0,24.0,0.542,13.0
309,92.7246,92.5218,111.0924,116.8243,64.9272,65.6165,95.0868,89.4533,107.075,114.7877,0.888785,0.935962,19.0,15.0,41.0,6.0,238.0,209.0,33.0,3.0,80.0,8.0,13.0,6.0,207.0,214.0,0,65.9591,65.7306,2007-1401-1257,2007.0,Louisville,1257.0,69.0,Louisville,Texas A&M,1401.0,72.0,Texas A&M,49.9133,33.2418,68.4286,52.7799,42.1569,71.5803,9.0,23.0,0.586,6.0,6.0,25.0,0.611,3.0
616,94.8885,95.3965,107.713,105.8775,61.3285,67.5753,98.0371,98.5168,105.7932,103.3508,0.811201,0.768307,51.0,59.0,58.0,81.0,327.0,101.0,100.0,113.0,82.0,122.0,42.0,55.0,324.0,98.0,0,61.853,67.6984,2012-1462-1323,2012.0,Notre Dame,1323.0,63.0,Notre Dame,Xavier,1462.0,67.0,Xavier,49.3392,33.2331,70.4309,48.7197,35.1297,69.475,11.0,22.0,0.493,7.0,12.0,21.0,0.556,10.0
