,game_id,t1_name,t2_name,t1_rpi,t2_rpi,t1_pyth,t2_pyth,t1_seed,t2_seed,prob_lose,prob_win
26,2016-1323-1425,Notre Dame,USC,0.589,0.579,0.8132,0.794437,6.0,8.0,0.492378244581,0.507621755419
27,2016-1458-1425,Wisconsin,USC,0.584,0.579,0.839077,0.794437,7.0,8.0,0.467916235132,0.532083764868
28,2016-1314-1344,North Carolina,Providence,0.645,0.586,0.9407,0.799206,1.0,9.0,0.349819931027,0.650180068973
29,2016-1462-1344,Xavier,Providence,0.639,0.586,0.894669,0.799206,2.0,9.0,0.396619873263,0.603380126737
30,2016-1452-1344,West Virginia,Providence,0.631,0.586,0.923627,0.799206,3.0,9.0,0.371664842376,0.628335157624
31,2016-1246-1344,Kentucky,Providence,0.626,0.586,0.919899,0.799206,4.0,9.0,0.377302451549,0.622697548451
32,2016-1231-1344,Indiana,Providence,0.602,0.586,0.895934,0.799206,5.0,9.0,0.410849362554,0.589150637446
33,2016-1323-1344,Notre Dame,Providence,0.589,0.586,0.8132,0.799206,6.0,9.0,0.500834659584,0.499165340416
34,2016-1458-1344,Wisconsin,Providence,0.584,0.586,0.839077,0.799206,7.0,9.0,0.47634676583,0.52365323417
35,2016-1425-1344,USC,Providence,0.579,0.586,0.794437,0.799206,8.0,9.0,0.524506111825,0.475493888175
36,2016-1314-1338,North Carolina,Pittsburgh,0.645,0.578,0.9407,0.802472,1.0,10.0,0.349666113205,0.650333886795
37,2016-1462-1338,Xavier,Pittsburgh,0.639,0.578,0.894669,0.802472,2.0,10.0,0.396458025138,0.603541974862
38,2016-1452-1338,West Virginia,Pittsburgh,0.631,0.578,0.923627,0.802472,3.0,10.0,0.371506907621,0.628493092379
39,2016-1246-1338,Kentucky,Pittsburgh,0.626,0.578,0.919899,0.802472,4.0,10.0,0.377143559082,0.622856440918
40,2016-1231-1338,Indiana,Pittsburgh,0.602,0.578,0.895934,0.802472,5.0,10.0,0.41068566004,0.58931433996
41,2016-1323-1338,Notre Dame,Pittsburgh,0.589,0.578,0.8132,0.802472,6.0,10.0,0.500665572043,0.499334427957
42,2016-1458-1338,Wisconsin,Pittsburgh,0.584,0.578,0.839077,0.802472,7.0,10.0,0.476178059015,0.523821940985
43,2016-1425-1338,USC,Pittsburgh,0.579,0.578,0.794437,0.802472,8.0,10.0,0.524337427295,0.475662572705
44,2016-1344-1338,Providence,Pittsburgh,0.586,0.578,0.799206,0.802472,9.0,10.0,0.516391350827,0.483608649173
45,2016-1314-1276,North Carolina,Michigan,0.645,0.574,0.9407,0.777853,1.0,11.0,0.324044242919,0.675955757081
46,2016-1462-1276,Xavier,Michigan,0.639,0.574,0.894669,0.777853,2.0,11.0,0.369354777432,0.630645222568
47,2016-1452-1276,West Virginia,Michigan,0.631,0.574,0.923627,0.777853,3.0,11.0,0.345133978901,0.654866021099
48,2016-1246-1276,Kentucky,Michigan,0.626,0.574,0.919899,0.777853,4.0,11.0,0.350593701072,0.649406298928
49,2016-1231-1276,Indiana,Michigan,0.602,0.574,0.895934,0.777853,5.0,11.0,0.383227359763,0.616772640237
50,2016-1323-1276,Notre Dame,Michigan,0.589,0.574,0.8132,0.777853,6.0,11.0,0.472009766001,0.527990233999
51,2016-1458-1276,Wisconsin,Michigan,0.584,0.574,0.839077,0.777853,7.0,11.0,0.447667274544,0.552332725456
52,2016-1425-1276,USC,Michigan,0.579,0.574,0.794437,0.777853,8.0,11.0,0.495671682947,0.504328317053
53,2016-1344-1276,Providence,Michigan,0.586,0.574,0.799206,0.777853,9.0,11.0,0.487714599549,0.512285400451
54,2016-1338-1276,Pittsburgh,Michigan,0.578,0.574,0.802472,0.777853,10.0,11.0,0.487824654395,0.512175345605
55,2016-1314-1409,North Carolina,Tulsa,0.645,0.571,0.9407,0.770262,1.0,11.0,0.315631980412,0.684368019588
56,2016-1462-1409,Xavier,Tulsa,0.639,0.571,0.894669,0.770262,2.0,11.0,0.360393385607,0.639606614393
57,2016-1452-1409,West Virginia,Tulsa,0.631,0.571,0.923627,0.770262,3.0,11.0,0.336446729051,0.663553270949
58,2016-1246-1409,Kentucky,Tulsa,0.626,0.571,0.919899,0.770262,4.0,11.0,0.34184076231,0.65815923769
59,2016-1231-1409,Indiana,Tulsa,0.602,0.571,0.895934,0.770262,5.0,11.0,0.374129063138,0.625870936862
60,2016-1323-1409,Notre Dame,Tulsa,0.589,0.571,0.8132,0.770262,6.0,11.0,0.462383849483,0.537616150517
61,2016-1458-1409,Wisconsin,Tulsa,0.584,0.571,0.839077,0.770262,7.0,11.0,0.438125850464,0.561874149536
62,2016-1425-1409,USC,Tulsa,0.579,0.571,0.794437,0.770262,8.0,11.0,0.48600739686,0.51399260314
63,2016-1344-1409,Providence,Tulsa,0.586,0.571,0.799206,0.770262,9.0,11.0,0.478058394646,0.521941605354
64,2016-1338-1409,Pittsburgh,Tulsa,0.578,0.571,0.802472,0.770262,10.0,11.0,0.478168304378,0.521831695622
65,2016-1276-1409,Michigan,Tulsa,0.574,0.571,0.777853,0.770262,11.0,11.0,0.505274793812,0.494725206188
66,2016-1314-1151,North Carolina,Chattanooga,0.645,0.579,0.9407,0.656214,1.0,12.0,0.221660881584,0.778339118416
67,2016-1462-1151,Xavier,Chattanooga,0.639,0.579,0.894669,0.656214,2.0,12.0,0.258122106255,0.741877893745
68,2016-1452-1151,West Virginia,Chattanooga,0.631,0.579,0.923627,0.656214,3.0,12.0,0.238437672221,0.761562327779
69,2016-1246-1151,Kentucky,Chattanooga,0.626,0.579,0.919899,0.656214,4.0,12.0,0.242835431812,0.757164568188
70,2016-1231-1151,Indiana,Chattanooga,0.602,0.579,0.895934,0.656214,5.0,12.0,0.269602921222,0.730397078778
71,2016-1323-1151,Notre Dame,Chattanooga,0.589,0.579,0.8132,0.656214,6.0,12.0,0.346865903049,0.653134096951
72,2016-1458-1151,Wisconsin,Chattanooga,0.584,0.579,0.839077,0.656214,7.0,12.0,0.325004618444,0.674995381556
73,2016-1425-1151,USC,Chattanooga,0.579,0.579,0.794437,0.656214,8.0,12.0,0.368634384042,0.631365615958
74,2016-1344-1151,Providence,Chattanooga,0.586,0.579,0.799206,0.656214,9.0,12.0,0.361255841177,0.638744158823
75,2016-1338-1151,Pittsburgh,Chattanooga,0.578,0.579,0.802472,0.656214,10.0,12.0,0.361357488851,0.638642511149
76,2016-1276-1151,Michigan,Chattanooga,0.574,0.579,0.777853,0.656214,11.0,12.0,0.386749854971,0.613250145029
77,2016-1409-1151,Tulsa,Chattanooga,0.571,0.579,0.770262,0.656214,11.0,12.0,0.395446689409,0.604553310591
78,2016-1314-1392,North Carolina,Stony Brook,0.645,0.572,0.9407,0.698047,1.0,13.0,0.252229400335,0.747770599665
79,2016-1462-1392,Xavier,Stony Brook,0.639,0.572,0.894669,0.698047,2.0,13.0,0.291833561008,0.708166438992
80,2016-1452-1392,West Virginia,Stony Brook,0.631,0.572,0.923627,0.698047,3.0,13.0,0.270515708231,0.729484291769
81,2016-1246-1392,Kentucky,Stony Brook,0.626,0.572,0.919899,0.698047,4.0,13.0,0.275291246438,0.724708753562
82,2016-1231-1392,Indiana,Stony Brook,0.602,0.572,0.895934,0.698047,5.0,13.0,0.304198978565,0.695801021435
83,2016-1323-1392,Notre Dame,Stony Brook,0.589,0.572,0.8132,0.698047,6.0,13.0,0.386135044341,0.613864955659
84,2016-1458-1392,Wisconsin,Stony Brook,0.584,0.572,0.839077,0.698047,7.0,13.0,0.363175007321,0.636824992679
85,2016-1425-1392,USC,Stony Brook,0.579,0.572,0.794437,0.698047,8.0,13.0,0.408825363225,0.591174636775
86,2016-1344-1392,Providence,Stony Brook,0.586,0.572,0.799206,0.698047,9.0,13.0,0.401153494325,0.598846505675
87,2016-1338-1392,Pittsburgh,Stony Brook,0.578,0.572,0.802472,0.698047,10.0,13.0,0.401259315869,0.598740684131
88,2016-1276-1392,Michigan,Stony Brook,0.574,0.572,0.777853,0.698047,11.0,13.0,0.427578331717,0.572421668283
89,2016-1409-1392,Tulsa,Stony Brook,0.571,0.572,0.770262,0.698047,11.0,13.0,0.436539722832,0.563460277168
90,2016-1151-1392,Chattanooga,Stony Brook,0.579,0.572,0.656214,0.698047,12.0,13.0,0.550131494846,0.449868505154
91,2016-1314-1372,North Carolina,Stephen F. Austin,0.645,0.571,0.9407,0.834675,1.0,14.0,0.379136056771,0.620863943229
92,2016-1462-1372,Xavier,Stephen F. Austin,0.639,0.571,0.894669,0.834675,2.0,14.0,0.427280567063,0.572719432937
93,2016-1452-1372,West Virginia,Stephen F. Austin,0.631,0.571,0.923627,0.834675,3.0,14.0,0.401680655481,0.598319344519
94,2016-1246-1372,Kentucky,Stephen F. Austin,0.626,0.571,0.919899,0.834675,4.0,14.0,0.407478298973,0.592521701027
95,2016-1231-1372,Indiana,Stephen F. Austin,0.602,0.571,0.895934,0.834675,5.0,14.0,0.441804621487,0.558195378513
96,2016-1323-1372,Notre Dame,Stephen F. Austin,0.589,0.571,0.8132,0.834675,6.0,14.0,0.532442511384,0.467557488616
97,2016-1458-1372,Wisconsin,Stephen F. Austin,0.584,0.571,0.839077,0.834675,7.0,14.0,0.507981914162,0.492018085838
98,2016-1425-1372,USC,Stephen F. Austin,0.579,0.571,0.794437,0.834675,8.0,14.0,0.555944035022,0.444055964978
99,2016-1344-1372,Providence,Stephen F. Austin,0.586,0.571,0.799206,0.834675,9.0,14.0,0.548070872254,0.451929127746
100,2016-1338-1372,Pittsburgh,Stephen F. Austin,0.578,0.571,0.802472,0.834675,10.0,14.0,0.548179972805,0.451820027195
101,2016-1276-1372,Michigan,Stephen F. Austin,0.574,0.571,0.777853,0.834675,11.0,14.0,0.574882976363,0.425117023637
102,2016-1409-1372,Tulsa,Stephen F. Austin,0.571,0.571,0.770262,0.834675,11.0,14.0,0.583783091134,0.416216908866
103,2016-1151-1372,Chattanooga,Stephen F. Austin,0.579,0.571,0.656214,0.834675,12.0,14.0,0.688848712014,0.311151287986
104,2016-1392-1372,Stony Brook,Stephen F. Austin,0.572,0.571,0.698047,0.834675,13.0,14.0,0.653485499541,0.346514500459
105,2016-1314-1451,North Carolina,Weber St.,0.645,0.538,0.9407,0.571126,1.0,15.0,0.154044754795,0.845955245205
106,2016-1462-1451,Xavier,Weber St.,0.639,0.538,0.894669,0.571126,2.0,15.0,0.181984236993,0.818015763007
107,2016-1452-1451,West Virginia,Weber St.,0.631,0.538,0.923627,0.571126,3.0,15.0,0.166800628913,0.833199371087
108,2016-1246-1451,Kentucky,Weber St.,0.626,0.538,0.919899,0.571126,4.0,15.0,0.1701723521,0.8298276479
109,2016-1231-1451,Indiana,Weber St.,0.602,0.538,0.895934,0.571126,5.0,15.0,0.190950211723,0.809049788277
110,2016-1323-1451,Notre Dame,Weber St.,0.589,0.538,0.8132,0.571126,6.0,15.0,0.253495830921,0.746504169079
111,2016-1458-1451,Wisconsin,Weber St.,0.584,0.538,0.839077,0.571126,7.0,15.0,0.235398299178,0.764601700822
112,2016-1425-1451,USC,Weber St.,0.579,0.538,0.794437,0.571126,8.0,15.0,0.271843509929,0.728156490071
113,2016-1344-1451,Providence,Weber St.,0.586,0.538,0.799206,0.571126,9.0,15.0,0.265587363114,0.734412636886
114,2016-1338-1451,Pittsburgh,Weber St.,0.578,0.538,0.802472,0.571126,10.0,15.0,0.265673288497,0.734326711503
115,2016-1276-1451,Michigan,Weber St.,0.574,0.538,0.777853,0.571126,11.0,15.0,0.28736740782,0.71263259218
116,2016-1409-1451,Tulsa,Weber St.,0.571,0.538,0.770262,0.571126,11.0,15.0,0.294904123373,0.705095876627
117,2016-1151-1451,Chattanooga,Weber St.,0.579,0.538,0.656214,0.571126,12.0,15.0,0.39765058089,0.60234941911
118,2016-1392-1451,Stony Brook,Weber St.,0.572,0.538,0.698047,0.571126,13.0,15.0,0.359943180085,0.640056819915
119,2016-1372-1451,Stephen F. Austin,Weber St.,0.571,0.538,0.834675,0.571126,14.0,15.0,0.24281279162,0.75718720838
120,2016-1314-1192,North Carolina,Fairleigh Dickinson,0.645,0.48,0.9407,0.290502,1.0,16.0,0.0459031753398,0.95409682466
121,2016-1462-1192,Xavier,Fairleigh Dickinson,0.639,0.48,0.894669,0.290502,2.0,16.0,0.0555159140749,0.944484085925
122,2016-1452-1192,West Virginia,Fairleigh Dickinson,0.631,0.48,0.923627,0.290502,3.0,16.0,0.0502360168274,0.949763983173
123,2016-1246-1192,Kentucky,Fairleigh Dickinson,0.626,0.48,0.919899,0.290502,4.0,16.0,0.0513968400629,0.948603159937
124,2016-1231-1192,Indiana,Fairleigh Dickinson,0.602,0.48,0.895934,0.290502,5.0,16.0,0.0586981684221,0.941301831578
125,2016-1323-1192,Notre Dame,Fairleigh Dickinson,0.589,0.48,0.8132,0.290502,6.0,16.0,0.0823330884531,0.917666911547
126,2016-1458-1192,Wisconsin,Fairleigh Dickinson,0.584,0.48,0.839077,0.290502,7.0,16.0,0.0752238299988,0.924776170001
127,2016-1425-1192,USC,Fairleigh Dickinson,0.579,0.48,0.794437,0.290502,8.0,16.0,0.0897822143079,0.910217785692
128,2016-1344-1192,Providence,Fairleigh Dickinson,0.586,0.48,0.799206,0.290502,9.0,16.0,0.0872141432506,0.912785856749
129,2016-1338-1192,Pittsburgh,Fairleigh Dickinson,0.578,0.48,0.802472,0.290502,10.0,16.0,0.0872492155208,0.912750784479
130,2016-1276-1192,Michigan,Fairleigh Dickinson,0.574,0.48,0.777853,0.290502,11.0,16.0,0.0962840856292,0.903715914371
131,2016-1409-1192,Tulsa,Fairleigh Dickinson,0.571,0.48,0.770262,0.290502,11.0,16.0,0.0995090898174,0.900490910183
132,2016-1151-1192,Chattanooga,Fairleigh Dickinson,0.579,0.48,0.656214,0.290502,12.0,16.0,0.148518074348,0.851481925652
133,2016-1392-1192,Stony Brook,Fairleigh Dickinson,0.572,0.48,0.698047,0.290502,13.0,16.0,0.129361239548,0.870638760452
134,2016-1372-1192,Stephen F. Austin,Fairleigh Dickinson,0.571,0.48,0.834675,0.290502,14.0,16.0,0.0781085923834,0.921891407617
135,2016-1451-1192,Weber St.,Fairleigh Dickinson,0.538,0.48,0.571126,0.290502,15.0,16.0,0.210139078134,0.789860921866
136,2016-1314-1195,North Carolina,Florida Gulf Coast,0.645,0.475,0.9407,0.469004,1.0,16.0,0.0940068185715,0.905993181428
137,2016-1462-1195,Xavier,Florida Gulf Coast,0.639,0.475,0.894669,0.469004,2.0,16.0,0.112505250385,0.887494749615
138,2016-1452-1195,West Virginia,Florida Gulf Coast,0.631,0.475,0.923627,0.469004,3.0,16.0,0.102392917896,0.897607082104
139,2016-1246-1195,Kentucky,Florida Gulf Coast,0.626,0.475,0.919899,0.469004,4.0,16.0,0.104626184836,0.895373815164
140,2016-1231-1195,Indiana,Florida Gulf Coast,0.602,0.475,0.895934,0.469004,5.0,16.0,0.118544205717,0.881455794283
141,2016-1323-1195,Notre Dame,Florida Gulf Coast,0.589,0.475,0.8132,0.469004,6.0,16.0,0.162125852471,0.837874147529
142,2016-1458-1195,Wisconsin,Florida Gulf Coast,0.584,0.475,0.839077,0.469004,7.0,16.0,0.149247245106,0.850752754894
143,2016-1425-1195,USC,Florida Gulf Coast,0.579,0.475,0.794437,0.469004,8.0,16.0,0.175414282335,0.824585717665
144,2016-1344-1195,Providence,Florida Gulf Coast,0.586,0.475,0.799206,0.469004,9.0,16.0,0.170856617214,0.829143382786
145,2016-1338-1195,Pittsburgh,Florida Gulf Coast,0.578,0.475,0.802472,0.469004,10.0,16.0,0.170919027115,0.829080972885
146,2016-1276-1195,Michigan,Florida Gulf Coast,0.574,0.475,0.777853,0.469004,11.0,16.0,0.186844504716,0.813155495284
147,2016-1409-1195,Tulsa,Florida Gulf Coast,0.571,0.475,0.770262,0.469004,11.0,16.0,0.192456825927,0.807543174073
148,2016-1151-1195,Chattanooga,Florida Gulf Coast,0.579,0.475,0.656214,0.469004,12.0,16.0,0.273347358043,0.726652641957
149,2016-1392-1195,Stony Brook,Florida Gulf Coast,0.572,0.475,0.698047,0.469004,13.0,16.0,0.242678204985,0.757321795015
150,2016-1372-1195,Stephen F. Austin,Florida Gulf Coast,0.571,0.475,0.834675,0.469004,14.0,16.0,0.154496486895,0.845503513105
151,2016-1451-1195,Weber St.,Florida Gulf Coast,0.538,0.475,0.571126,0.469004,15.0,16.0,0.364584471359,0.635415528641
152,2016-1192-1195,Fairleigh Dickinson,Florida Gulf Coast,0.48,0.475,0.290502,0.469004,16.0,16.0,0.66876449025,0.33123550975
153,2016-1314-1242,North Carolina,Kansas,0.645,0.677,0.9407,0.950266,1.0,1.0,0.551827309142,0.448172690858
154,2016-1462-1242,Xavier,Kansas,0.639,0.677,0.894669,0.950266,2.0,1.0,0.600684563163,0.399315436837
155,2016-1452-1242,West Virginia,Kansas,0.631,0.677,0.923627,0.950266,3.0,1.0,0.575128349859,0.424871650141
156,2016-1246-1242,Kentucky,Kansas,0.626,0.677,0.919899,0.950266,4.0,1.0,0.580998466309,0.419001533691
157,2016-1231-1242,Indiana,Kansas,0.602,0.677,0.895934,0.950266,5.0,1.0,0.614775781491,0.385224218509
158,2016-1323-1242,Notre Dame,Kansas,0.589,0.677,0.8132,0.950266,6.0,1.0,0.696614094133,0.303385905867
159,2016-1458-1242,Wisconsin,Kansas,0.584,0.677,0.839077,0.950266,7.0,1.0,0.675507914411,0.324492085589
160,2016-1425-1242,USC,Kansas,0.579,0.677,0.794437,0.950266,8.0,1.0,0.716261114831,0.283738885169
161,2016-1344-1242,Providence,Kansas,0.586,0.677,0.799206,0.950266,9.0,1.0,0.7097463785,0.2902536215
162,2016-1338-1242,Pittsburgh,Kansas,0.578,0.677,0.802472,0.950266,10.0,1.0,0.709837112445,0.290162887555
163,2016-1276-1242,Michigan,Kansas,0.574,0.677,0.777853,0.950266,11.0,1.0,0.731662804834,0.268337195166
164,2016-1409-1242,Tulsa,Kansas,0.571,0.677,0.770262,0.950266,11.0,1.0,0.738772106856,0.261227893144
165,2016-1151-1242,Chattanooga,Kansas,0.579,0.677,0.656214,0.950266,12.0,1.0,0.816979491646,0.183020508354
166,2016-1392-1242,Stony Brook,Kansas,0.572,0.677,0.698047,0.950266,13.0,1.0,0.791776813737,0.208223186263
167,2016-1372-1242,Stephen F. Austin,Kansas,0.571,0.677,0.834675,0.950266,14.0,1.0,0.684376902209,0.315623097791
168,2016-1451-1242,Weber St.,Kansas,0.538,0.677,0.571126,0.950266,15.0,1.0,0.87193758641,0.12806241359
169,2016-1192-1242,Fairleigh Dickinson,Kansas,0.48,0.677,0.290502,0.950266,16.0,1.0,0.959933495425,0.0400665045753
170,2016-1195-1242,Florida Gulf Coast,Kansas,0.475,0.677,0.469004,0.950266,16.0,1.0,0.920479690516,0.0795203094839
171,2016-1314-1437,North Carolina,Villanova,0.645,0.653,0.9407,0.935227,1.0,2.0,0.52442843463,0.47557156537
172,2016-1462-1437,Xavier,Villanova,0.639,0.653,0.894669,0.935227,2.0,2.0,0.573966572002,0.426033427998
173,2016-1452-1437,West Virginia,Villanova,0.631,0.653,0.923627,0.935227,3.0,2.0,0.547987138829,0.452012861171
174,2016-1246-1437,Kentucky,Villanova,0.626,0.653,0.919899,0.935227,4.0,2.0,0.553941409889,0.446058590111
175,2016-1231-1437,Indiana,Villanova,0.602,0.653,0.895934,0.935227,5.0,2.0,0.58835450659,0.41164549341
176,2016-1323-1437,Notre Dame,Villanova,0.589,0.653,0.8132,0.935227,6.0,2.0,0.67281861243,0.32718138757
177,2016-1458-1437,Wisconsin,Villanova,0.584,0.653,0.839077,0.935227,7.0,2.0,0.650886637804,0.349113362196
178,2016-1425-1437,USC,Villanova,0.579,0.653,0.794437,0.935227,8.0,2.0,0.693328222121,0.306671777879
179,2016-1344-1437,Providence,Villanova,0.586,0.653,0.799206,0.935227,9.0,2.0,0.686517390339,0.313482609661
180,2016-1338-1437,Pittsburgh,Villanova,0.578,0.653,0.802472,0.935227,10.0,2.0,0.686612179439,0.313387820561
181,2016-1276-1437,Michigan,Villanova,0.574,0.653,0.777853,0.935227,11.0,2.0,0.709469810687,0.290530189313
182,2016-1409-1437,Tulsa,Villanova,0.571,0.653,0.770262,0.935227,11.0,2.0,0.716939618815,0.283060381185
183,2016-1151-1437,Chattanooga,Villanova,0.579,0.653,0.656214,0.935227,12.0,2.0,0.799913024537,0.200086975463
184,2016-1392-1437,Stony Brook,Villanova,0.572,0.653,0.698047,0.935227,13.0,2.0,0.773013174002,0.226986825998
185,2016-1372-1437,Stephen F. Austin,Villanova,0.571,0.653,0.834675,0.935227,14.0,2.0,0.660089950919,0.339910049081
186,2016-1451-1437,Weber St.,Villanova,0.538,0.653,0.571126,0.935227,15.0,2.0,0.859112135607,0.140887864393
187,2016-1192-1437,Fairleigh Dickinson,Villanova,0.48,0.653,0.290502,0.935227,16.0,2.0,0.955470772076,0.0445292279238
188,2016-1195-1437,Florida Gulf Coast,Villanova,0.475,0.653,0.469004,0.935227,16.0,2.0,0.91202522775,0.0879747722497
189,2016-1242-1437,Kansas,Villanova,0.677,0.653,0.950266,0.935227,1.0,2.0,0.500676142338,0.499323857662
190,2016-1314-1274,North Carolina,Miami FL,0.645,0.636,0.9407,0.897133,1.0,3.0,0.475046232654,0.524953767346
191,2016-1462-1274,Xavier,Miami FL,0.639,0.636,0.894669,0.897133,2.0,3.0,0.525069880304,0.474930119696
192,2016-1452-1274,West Virginia,Miami FL,0.631,0.636,0.923627,0.897133,3.0,3.0,0.49871288317,0.50128711683
193,2016-1246-1274,Kentucky,Miami FL,0.626,0.636,0.919899,0.897133,4.0,3.0,0.504729596116,0.495270403884
194,2016-1231-1274,Indiana,Miami FL,0.602,0.636,0.895934,0.897133,5.0,3.0,0.539785084279,0.460214915721
195,2016-1323-1274,Notre Dame,Miami FL,0.589,0.636,0.8132,0.897133,6.0,3.0,0.627912408096,0.372087591904
196,2016-1458-1274,Wisconsin,Miami FL,0.584,0.636,0.839077,0.897133,7.0,3.0,0.604738637997,0.395261362003
197,2016-1425-1274,USC,Miami FL,0.579,0.636,0.794437,0.897133,8.0,3.0,0.649771690492,0.350228309508
198,2016-1344-1274,Providence,Miami FL,0.586,0.636,0.799206,0.897133,9.0,3.0,0.642492317269,0.357507682731
199,2016-1338-1274,Pittsburgh,Miami FL,0.578,0.636,0.802472,0.897133,10.0,3.0,0.64259348806,0.35740651194
200,2016-1276-1274,Michigan,Miami FL,0.574,0.636,0.777853,0.897133,11.0,3.0,0.667105102192,0.332894897808
201,2016-1409-1274,Tulsa,Miami FL,0.571,0.636,0.770262,0.897133,11.0,3.0,0.675165434329,0.324834565671
202,2016-1151-1274,Chattanooga,Miami FL,0.579,0.636,0.656214,0.897133,12.0,3.0,0.766394130355,0.233605869645
203,2016-1392-1274,Stony Brook,Miami FL,0.572,0.636,0.698047,0.897133,13.0,3.0,0.736472554009,0.263527445991
204,2016-1372-1274,Stephen F. Austin,Miami FL,0.571,0.636,0.834675,0.897133,14.0,3.0,0.614437860813,0.385562139187
205,2016-1451-1274,Weber St.,Miami FL,0.538,0.636,0.571126,0.897133,15.0,3.0,0.833445469024,0.166554530976
206,2016-1192-1274,Fairleigh Dickinson,Miami FL,0.48,0.636,0.290502,0.897133,16.0,3.0,0.946260455681,0.0537395443193
207,2016-1195-1274,Florida Gulf Coast,Miami FL,0.475,0.636,0.469004,0.897133,16.0,3.0,0.89481797477,0.10518202523
208,2016-1242-1274,Kansas,Miami FL,0.677,0.636,0.950266,0.897133,1.0,3.0,0.45140758328,0.54859241672
209,2016-1437-1274,Villanova,Miami FL,0.653,0.636,0.935227,0.897133,2.0,3.0,0.477206564145,0.522793435855
210,2016-1314-1143,North Carolina,California,0.645,0.616,0.9407,0.876402,1.0,4.0,0.443365752855,0.556634247145
211,2016-1462-1143,Xavier,California,0.639,0.616,0.894669,0.876402,2.0,4.0,0.493187528559,0.506812471441
212,2016-1452-1143,West Virginia,California,0.631,0.616,0.923627,0.876402,3.0,4.0,0.46685773346,0.53314226654
213,2016-1246-1143,Kentucky,California,0.626,0.616,0.919899,0.876402,4.0,4.0,0.472852646886,0.527147353114
214,2016-1231-1143,Indiana,California,0.602,0.616,0.895934,0.876402,5.0,4.0,0.507964882517,0.492035117483
215,2016-1323-1143,Notre Dame,California,0.589,0.616,0.8132,0.876402,6.0,4.0,0.597643554173,0.402356445827
